,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO,weighted_CHI,rank_CHI,weight_CHI,weighted_ZIPF,rank_ZIPF,weight_ZIPF,weighted_CLASSIFIER,rank_CLASSIFIER,weight_CLASSIFIER,weighted_IRPR,rank_IRPR,weight_IRPR,weighted_FID,rank_FID,weight_FID,weighted_PR,rank_PR,weight_PR,weighted_DC,rank_DC,weight_DC,weighted_MAUVE,rank_MAUVE,weight_MAUVE,weighted_TRADITIONAL,rank_TRADITIONAL,weight_TRADITIONAL,weighted_ZERO,rank_ZERO,weight_ZERO,final_score,dataset
20,combinedTopicModel,0.0,0.3310923650454531,1.0,0.2797849,0.5547627448811706,0.8565015066349456,0.9534486399472096,0.9899165108589008,0.7600585270527369,0.2605399593867838,0.0,10,0.0,0.03998491403198771,1,0.12076664475938154,0.09474486993633534,8,0.09474486993633534,0.03308605306708087,4,0.11825532066627209,0.06474637254916243,5,0.11671002270174256,0.09986888941290585,6,0.1166009500733681,0.07577170490705752,9,0.07947119722280252,0.11827532615448529,3,0.1194801024703222,0.08700186253124345,7,0.11446731986365413,0.031135455875212492,2,0.11950357230612155,0.6446154484654709,dementiaAudio
21,realToReal,1.0,0.0128692648016945,0.5028743028743029,0.22520985,0.2469632477004149,0.2155903444682565,0.0679628612511555,0.0425602067593624,0.1854679895884838,0.0920064005304959,0.0,10,0.0,0.0015541779306206525,1,0.12076664475938154,0.04764476042015113,8,0.09474486993633534,0.026632263028953038,4,0.11825532066627209,0.028823086245611494,5,0.11671002270174256,0.025138038991643408,6,0.1166009500733681,0.005401089950316542,9,0.07947119722280252,0.005085097864766719,3,0.1194801024703222,0.02123002368869385,7,0.11446731986365413,0.010995093538422096,2,0.11950357230612155,0.17250363165917892,dementiaAudio
22,realToReal2,1.0,0.012834667934413,0.5174906964380649,0.22453368,0.2440263850901983,0.221586289759418,0.0610100820968928,0.0524619419306924,0.1564977404108295,0.0808506962820117,0.0,10,0.0,0.00154999978303988,1,0.12076664475938154,0.04902958872728805,8,0.09474486993633534,0.026552302328778126,4,0.11825532066627209,0.028480324943701216,5,0.11671002270174256,0.025837171909180775,6,0.1166009500733681,0.004848544266901541,9,0.07947119722280252,0.006268158197671222,3,0.1194801024703222,0.01791387690954553,7,0.11446731986365413,0.009661947029137658,2,0.11950357230612155,0.170141914095244,dementiaAudio
23,realToReal3,1.0,0.0091727049490712,0.556511121728513,0.22329098,0.2444003671590915,0.2047667004122504,0.0050417068466284,0.0377998025395142,0.1930939982825987,0.1029385265370405,0.0,10,0.0,0.0011077568000671025,1,0.12076664475938154,0.05272657384629205,8,0.09474486993633534,0.02640534644178615,4,0.11825532066627209,0.028523972399451786,5,0.11671002270174256,0.02387599181145713,6,0.1166009500733681,0.00040067047914795937,9,0.07947119722280252,0.004516324280779102,3,0.1194801024703222,0.02210295246516611,7,0.11446731986365413,0.01230152164910483,2,0.11950357230612155,0.17196111017325225,dementiaAudio
24,LDA,0.9999999958419268,0.0948429531978766,0.9039942197836934,0.39816487,0.9321786692647996,0.2560342307933459,0.1137379863443565,0.668309132079925,0.4083407847032607,0.2613224065201535,0.0,10,0.0,0.010972588069439113,5,0.11569218059402198,0.08912335161635612,8,0.0985884087153582,0.04388146888232487,6,0.11020929315618647,0.07395193830877325,9,0.0793323648642362,0.03083857966452359,4,0.1204470963471071,0.014058933132121936,2,0.12360807135759105,0.07003618988757263,7,0.10479609887957776,0.0493445790505221,3,0.12084166191329766,0.03305331864106848,1,0.1264848241726236,0.415260947252702,huffPostNews
25,MATAVE,0.999941306706446,0.0727509331257468,0.9332618600911284,0.39197266,0.9146289089338387,0.6858708201418052,0.0695181446427033,0.7151542332015275,0.5963669299850675,0.3331428273258805,0.0,10,0.0,0.008416714093567515,5,0.11569218059402198,0.09200880170111962,8,0.0985884087153582,0.0431990297951502,6,0.11020929315618647,0.07255967431891756,9,0.0793323648642362,0.08261114875528938,4,0.1204470963471071,0.008593003783642606,2,0.12360807135759105,0.07494537373673589,7,0.10479609887957776,0.07206597092952678,3,0.12084166191329766,0.0421375119386847,1,0.1264848241726236,0.49653722905263425,huffPostNews
26,combinedTopicModel,1.0,0.0744812740200465,0.8899248899248899,0.39933643,0.9168910163082308,0.3501870788997208,0.0942347127247969,0.7088634050312755,0.4526457839559267,0.2635514201393946,0.0,10,0.0,0.008616901004800058,5,0.11569218059402198,0.0877362787738852,8,0.0985884087153582,0.044010585681814936,6,0.11020929315618647,0.0727391326465049,9,0.0793323648642362,0.042179016831746664,4,0.1204470963471071,0.011648171094848789,2,0.12360807135759105,0.07428611948577173,7,0.10479609887957776,0.05469846879128167,3,0.12084166191329766,0.033335255036776576,1,0.1264848241726236,0.42924992934743056,huffPostNews
27,realToReal,1.0,0.0127147665442448,0.4858793324775353,0.39789328,0.8252481075155851,0.0471040373837444,0.0564849656426131,0.0357054876201436,0.1580417835530726,0.1087581147933896,0.0,10,0.0,0.001470999067247598,5,0.11569218059402198,0.04790207021664067,8,0.0985884087153582,0.043851537140396586,6,0.11020929315618647,0.06546888396894682,9,0.0793323648642362,0.0056735445290975964,4,0.1204470963471071,0.006981997663783199,2,0.12360807135759105,0.003741795811184108,7,0.10479609887957776,0.019098031776294967,3,0.12084166191329766,0.013756251026987897,1,0.1264848241726236,0.20794511120057943,huffPostNews
28,realToReal2,1.0,0.0086209454881302,0.5145954316686024,0.39751342,0.8169207875596959,0.0302604883038198,0.0420719848216549,0.0469887424590163,0.182642988096052,0.0940018635508426,0.0,10,0.0,0.0009973759823039782,5,0.11569218059402198,0.05073314474040036,8,0.0985884087153582,0.043809673038298275,6,0.11020929315618647,0.06480825798386498,9,0.0793323648642362,0.003644787950240691,4,0.1204470963471071,0.0052004369019906065,2,0.12360807135759105,0.0049242369009620856,7,0.10479609887957776,0.022070882218337567,3,0.12084166191329766,0.011889809183127282,1,0.1264848241726236,0.20807860489952584,huffPostNews
29,realToReal3,1.0,0.0173384692403029,0.4292207483478343,0.39914465,0.8223691186050209,0.0474015708858987,0.0594542553162722,0.0158509271892643,0.152945752219558,0.0950949661174915,0.0,10,0.0,0.0020059253145730182,5,0.11569218059402198,0.0423161905672282,8,0.0985884087153582,0.04398944974357344,6,0.11020929315618647,0.06524048697025385,9,0.0793323648642362,0.005709381575498067,4,0.1204470963471071,0.0073490258336462114,2,0.12360807135759105,0.0016611153330591292,7,0.10479609887957776,0.018482218880790824,3,0.12084166191329766,0.012028070069072512,1,0.1264848241726236,0.19878186428769523,huffPostNews
