dataset,model,CHI,ZIPF,CLASSIFIER,IRPR,FID,PR,DC,MAUVE,TRADITIONAL,ZERO
syntheticCareHomeNurseNotes,MATAVE,0.582789925281802,0.12045673052383259,0.832426516572858,0.30806482,0.5448968928960306,0.19792721861063356,0.2241769512269968,0.3143314019974163,0.47570555639210527,0.10068700301730941
syntheticCareHomeNurseNotes,combinedTopicModel,0.7251116955459068,0.09983590627984962,0.8895875237338652,0.3078308,0.5375585557583423,0.19790128816731467,0.12656875750929938,0.14530490319850276,0.5131197726442337,0.16132527101060581
syntheticCareHomeNurseNotes,realToReal,0.6425656671145537,0.02401333648710413,0.532010582010582,0.2911502,0.4198300932715209,0.04678974539872057,0.03933508094739765,0.037413302450041784,0.1567429932790624,0.08781037747694022
syntheticCareHomeNurseNotes,realToReal2,0.6666946651488178,0.019437642156476104,0.44542249933777533,0.29103157,0.4179732179758217,0.033557441794873855,0.008769767606860731,0.04353725353098655,0.1810923715575461,0.08634002265676625
syntheticCareHomeNurseNotes,realToReal3,1.0,0.0027069064061106727,0.45945945945945943,0.2935637,0.4238105836950609,0.03518005927092801,0.029950287328737685,0.03561594340982066,0.15074846196961067,0.10020993593623441
clinicalDialogueSummarizations,LDA,0.018040655104283137,0.06766408036113351,0.8822436627314677,0.3241258,0.7001722107396392,0.34668741814531634,0.15204448883104307,0.6705778456019716,0.31777711139446857,0.2894757369225489
clinicalDialogueSummarizations,MATAVE,0.0876866154510555,0.17416452301270968,0.8849206349206349,0.3431028,0.7547901501599723,0.3229534362074075,0.49111420292808,0.6605078734595594,0.37312384738076076,0.37912042053057426
clinicalDialogueSummarizations,combinedTopicModel,0.8194379945513907,0.10962003199091956,0.8442655535678791,0.32922122,0.692823625089856,0.27529509579475625,0.22469338205862185,0.4467869918996617,0.3306132034659289,0.307443283774814
clinicalDialogueSummarizations,realToReal,1.0,0.008507246181647629,0.43342732856799354,0.26867887,0.4718757661642841,0.0753032450192374,0.04323920362907089,0.03538437713894338,0.1800805833655292,0.10788300679602597
clinicalDialogueSummarizations,realToReal2,1.0,0.007128540159118457,0.5249753633899975,0.2639067,0.47970957888639637,0.0818201325201668,0.07903318785553497,0.07044882349454355,0.14806933968043348,0.10798907679997179
clinicalDialogueSummarizations,realToReal3,1.0,0.009529474781076538,0.5236985236985237,0.26844987,0.4780665772237282,0.06698723261272299,0.08591588319392911,0.024511813418653234,0.1763232671768689,0.09594239087176294
simSUM,LDA,0.0,0.06558595699929204,0.9482456140350877,0.23841041,0.45307005184772114,0.7038335473877447,0.9144903843378085,0.8506086201054567,0.4878415340299325,0.36571659240577303
simSUM,MATAVE,0.0,0.15325038782679856,0.9755799755799756,0.24177651,0.5166735280723228,0.7083905130062131,0.899406649833363,0.8791222065514187,0.5068906976172469,0.3556906410830238
simSUM,combinedTopicModel,0.0,0.12635559113984154,0.958913308913309,0.23729594,0.4295612343326643,0.6845558922591026,0.8946991709993437,0.6083039237445248,0.5372815422238636,0.344104789046008
simSUM,realToReal,1.0,0.006167793509327908,0.5433455958809313,0.17151815,0.14696784352870232,0.08715708256701545,0.020542815139786803,0.031642831982537145,0.15819087932245746,0.10745385509128232
simSUM,realToReal2,1.0,0.008202121336355598,0.5526352384925601,0.1710335,0.14849104019811268,0.07666142504988516,0.027608258662107366,0.01964428011696114,0.13770257448222675,0.0822147939632608
simSUM,realToReal3,1.0,0.008179096920746809,0.49106212215968315,0.17463297,0.15754576003235468,0.09248396343343172,0.015279968629655602,0.08888554437040068,0.15192577769488302,0.08516546667031233
atis,LDA,0.0,0.16009979028777463,0.9245098039215686,0.27354923,0.4992656774926391,0.44598264690738443,0.6496560114553683,0.9300243816534706,0.39104603218021733,0.2815073287038427
atis,MATAVE,0.0,0.21437825956486425,0.9657894736842105,0.29124317,0.5561212948278568,0.451169691196172,0.8123878922358349,0.8202259185902584,0.3674057163119233,0.20615445808873925
atis,combinedTopicModel,0.0,0.19447966724146007,0.9255784865540964,0.27856395,0.500422783263557,0.3811924809059269,0.7167405028841071,0.8794735740484296,0.3617908276015567,0.23234987242975103
atis,realToReal,0.9999999997920389,0.03424086878371221,0.49256474519632415,0.22234811,0.2466567702273197,0.0770277288359404,0.10928449374676379,0.07219692875789492,0.15773094703670243,0.06605466767476882
atis,realToReal2,0.6666747743697002,0.026406357243579166,0.5704691208402767,0.22334759,0.24991260356567788,0.08997779598165656,0.015757797730190298,0.02885939816689609,0.16295737209793495,0.06903001600528014
atis,realToReal3,0.7355492813379346,0.012060089853406083,0.4784514581026209,0.22369665,0.23646268935939854,0.07044805019132176,0.016288652235851003,0.01912089706434687,0.1606746674218922,0.07058147514700573
